id,prefectureCode,municipalityCode,name,nameKana,municipalityType,entityType,parentMunicipality,lifecycleStatus,officialUrl,sourceUrl
jp-34215,34,342157,江田島市,えたじまし,city,municipality,,current,https://www.city.etajima.hiroshima.jp/,https://www.city.etajima.hiroshima.jp/
jp-34302,34,343021,府中町,ふちゅうちょう,town,municipality,,current,https://www.town.fuchu.hiroshima.jp/,https://www.town.fuchu.hiroshima.jp/
jp-34304,34,343048,海田町,かいたちょう,town,municipality,,current,https://www.town.kaita.lg.jp/,https://www.town.kaita.lg.jp/
jp-34307,34,343072,熊野町,くまのちょう,town,municipality,,current,https://www.town.kumano.hiroshima.jp/,https://www.town.kumano.hiroshima.jp/
jp-34309,34,343099,坂町,さかちょう,town,municipality,,current,https://www.town.saka.lg.jp/,https://www.town.saka.lg.jp/
jp-34368,34,343684,安芸太田町,あきおおたちょう,town,municipality,,current,https://www.akiota.jp/,https://www.akiota.jp/
jp-34369,34,343692,北広島町,きたひろしまちょう,town,municipality,,current,https://www.town.kitahiroshima.lg.jp/,https://www.town.kitahiroshima.lg.jp/
jp-34431,34,344311,大崎上島町,おおさきかみじまちょう,town,municipality,,current,https://www.town.osakikamijima.hiroshima.jp/,https://www.town.osakikamijima.hiroshima.jp/
jp-34462,34,344621,世羅町,せらちょう,town,municipality,,current,https://www.town.sera.hiroshima.jp/,https://www.town.sera.hiroshima.jp/
jp-34545,34,345458,神石高原町,じんせきこうげんちょう,town,municipality,,current,https://www.jinsekigun.jp/,https://www.jinsekigun.jp/
jp-35201,35,352012,下関市,しものせきし,city,municipality,,current,https://www.city.shimonoseki.lg.jp/,https://www.city.shimonoseki.lg.jp/
jp-35202,35,352020,宇部市,うべし,city,municipality,,current,https://www.city.ube.yamaguchi.jp/,https://www.city.ube.yamaguchi.jp/
jp-35203,35,352039,山口市,やまぐちし,city,municipality,,current,https://www.city.yamaguchi.lg.jp/,https://www.city.yamaguchi.lg.jp/
jp-35204,35,352047,萩市,はぎし,city,municipality,,current,https://www.city.hagi.lg.jp/,https://www.city.hagi.lg.jp/
jp-35206,35,352063,防府市,ほうふし,city,municipality,,current,https://www.city.hofu.yamaguchi.jp/,https://www.city.hofu.yamaguchi.jp/
jp-35207,35,352071,下松市,くだまつし,city,municipality,,current,https://www.city.kudamatsu.lg.jp/,https://www.city.kudamatsu.lg.jp/
jp-35208,35,352080,岩国市,いわくにし,city,municipality,,current,https://www.city.iwakuni.lg.jp/,https://www.city.iwakuni.lg.jp/
jp-35210,35,352101,光市,ひかりし,city,municipality,,current,https://www.city.hikari.lg.jp/,https://www.city.hikari.lg.jp/
jp-35211,35,352110,長門市,ながとし,city,municipality,,current,https://www.city.nagato.yamaguchi.jp/,https://www.city.nagato.yamaguchi.jp/
jp-35212,35,352128,柳井市,やないし,city,municipality,,current,https://www.city-yanai.jp/,https://www.city-yanai.jp/
jp-35213,35,352136,美祢市,みねし,city,municipality,,current,https://www2.city.mine.lg.jp/,https://www2.city.mine.lg.jp/
jp-35215,35,352152,周南市,しゅうなんし,city,municipality,,current,https://www.city.shunan.lg.jp/,https://www.city.shunan.lg.jp/
jp-35216,35,352160,山陽小野田市,さんようおのだし,city,municipality,,current,https://www.city.sanyo-onoda.lg.jp/,https://www.city.sanyo-onoda.lg.jp/
jp-35305,35,353051,周防大島町,すおうおおしまちょう,town,municipality,,current,https://www.town.suo-oshima.lg.jp/,https://www.town.suo-oshima.lg.jp/
jp-35321,35,353213,和木町,わきちょう,town,municipality,,current,https://www.town.waki.lg.jp/,https://www.town.waki.lg.jp/
jp-35341,35,353418,上関町,かみのせきちょう,town,municipality,,current,https://www.town.kaminoseki.lg.jp/,https://www.town.kaminoseki.lg.jp/
jp-35343,35,353434,田布施町,たぶせちょう,town,municipality,,current,https://www.town.tabuse.lg.jp/,https://www.town.tabuse.lg.jp/
jp-35344,35,353442,平生町,ひらおちょう,town,municipality,,current,https://www.town.hirao.lg.jp/,https://www.town.hirao.lg.jp/
jp-35502,35,355020,阿武町,あぶちょう,town,municipality,,current,https://www.town.abu.lg.jp/,https://www.town.abu.lg.jp/
